Benchmark, Time[s]
001, 17.10
002, 0.22
003, 0.01
004, 1.82
005, 0.01
006, 0.03
007, 0.00
008, 0.00
009, 0.02
010, 0.00
011, 0.00
012, 0.05
013, 0.00
014, 0.01
015, 0.00
016, 0.02
017, 0.01
018, 0.04
019, 0.03
020, 0.00
021, 0.00
022, 0.00
023, 0.00
024, 0.00
025, 0.01
026, 0.00
027, 0.00
028, 0.00
029, 0.00
030, 0.00
031, 0.00
032, 0.00
033, 0.00
034, 0.00
035, 0.00
036, 0.00
037, 0.00
038, 0.00
039, 0.00
040, 0.00
041, 0.42
042, 0.00
043, 0.00
044, 0.00
045, 0.00
046, 0.01
047, 0.00
048, 0.02
049, 0.00
050, 20.80
051, 0.02
052, 0.00
053, 0.00
054, 0.01
055, 0.00
056, 0.00
057, 0.00
058, 0.00
059, 0.04
060, 0.01
061, 0.00
062, 0.00
063, 0.00
064, 0.00
065, 0.00
066, 0.01
067, 0.00
068, 0.00
069, 0.00
070, 0.02
071, 0.00
072, 0.22
073, 0.01
074, 0.00
075, 0.00
076, 0.02
077, 0.01
078, 18.32
079, 1.36
080, 0.16
081, 0.01
082, 0.20
083, 0.95
084, 0.04
085, 0.00
086, 0.00
087, 0.16
088, 0.00
089, 0.00
090, 0.00
091, 0.00
092, 0.02
093, 0.10
094, 0.00
095, 0.00
096, 0.00
097, 0.00
098, 0.00
099, 0.00
100, 0.00
101, 0.02
102, 0.00
103, 0.00
104, 0.00
105, 0.00
106, 0.02
107, 0.00
108, 0.00
109, 0.00
110, 0.00
111, 0.00
112, 0.09
113, 425.39
114, 0.03
115, 0.00
116, 0.22
117, 0.01
118, 0.24
119, 0.00
120, 36.26
121, 0.01
122, 3187.78
123, 0.01
124, 213.78
125, 0.02
126, 0.00
127, 0.03
128, 0.07
129, 0.00
130, 0.08
131, 0.00
132, 0.17
133, 0.00
134, 0.00
135, 0.00
136, 0.00
137, 0.04
138, 0.00
139, 0.00
140, 0.10
141, 0.01
142, 0.00
143, 0.16
144, 2462.99
145, 0.01
146, 0.16
147, 0.01
148, 0.04
149, 0.00
150, 0.00
151, 0.83
152, 0.06
153, 0.00
154, 0.00
155, 0.11
156, 0.01
157, 0.42
158, 0.00
159, 0.09
160, 0.22
161, 0.06
162, 0.00
163, 0.00
164, 0.00
165, 0.00
166, 0.00
167, 0.03
168, 0.00
169, 0.00
170, 0.00
171, 0.00
172, 0.00
173, 0.02
174, 0.00
175, 0.00
176, 0.01
177, 0.00
178, 0.01
179, 0.03
180, 0.00
181, 0.00
182, 0.00
183, 0.00
184, 0.00
185, 0.00
186, 0.00
187, 0.00
188, 0.00
189, 0.00
190, 0.00
191, 0.00
192, 0.49
193, 0.01
194, 0.15
195, 17.61
196, 0.03
197, 0.08
198, 0.00
199, 0.00
200, 0.00
201, 0.00
202, 0.00
203, 0.01
204, 0.11
205, 0.01
206, 0.00
207, 0.06
208, 0.00
209, 0.31
210, 0.26
211, 1.85
212, 0.00
